Item,GSSlabel,label
ABANY,Abortion if woman wants for any reason,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?
ABDEFECT,Strong chance of serious defect,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?
ABFELEGL,Women only: Women should be able to have legal abortions,
ABHELP1,R would help with arrangements for abortion,
ABHELP2,R would help with paying for abortion,
ABHELP3,R would help with paying for abortion-related other costs,
ABHELP4,R would help with emotional support for abortion,
ABHLTH,Woman's health seriously endangered,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?
ABINSPAY,Should people be able to use health insurance for abortion - Ver Y,
ABMEDGOV1,Woman and doctor or Govt should decide what info needed for abortion - Ver X,
ABMEDGOV2,Woman and doctor or Govt should decide what info needed for childbirth - Ver Y,
ABMELEGL,Men only: Women should be able to have legal abortions,
ABMORAL,R has a moral opposition to abortion,
ABNOMORE,Married--wants no more children,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?
ABPOOR,Low income--cant afford more children,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?
ABPOORW,Wrong for woman to get abortion if low income?,
ABRAPE,Pregnant as result of rape,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?
ABSINGLE,Not married,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is not married and does not want to marry the man?
ABSTATE1,Difficulty of obtaining abortion in R's state,
ABSTATE2,Change abortion laws in R's state to make it easier or harder to get an abortion,
ACQNTSEX,R had sex with acquaintance last year,
ACTSSOC,How well R carries out usual social activities,
ADMINCONSENT,Consent to possible data linkage,
ADULTS,Household members 18 yrs and older,
ADVFRONT,Sci Rsch is necessary and should be supported by federal govt,
AFFRMACT,Favor preference in hiring blacks,
AFRAIDOF,People act as if they are afraid of R,(In your day-to-day life how often have any of the following things happened to you?) People act as if they are afraid of you.
AFTERLIF,Belief in life after death,
AGE,Age of respondent,How old {response to agefill} last birthday?
AGED,Should aged live with their children,
AGEKDBRN,R's age when 1st child born,
ANCESTRS,Believe in supernatural power of deceased ancestors,
ARTHRTIS,Told have arthritis or rheumatism,
ASTROLGY,Ever read a horoscope or Personal astrology report,
ASTROSCI,Astrology is scientific,
ATHEISTS,What is your personal attitude towards members of the following religious group - Athiests,
ATTEND,How often R attends religious services,How often do you attend religious services?
ATTEND12,Freq of R's relig svc attendance at age 12,
ATTENDMA,Freq of R's mom's relig svc attendance,
ATTENDPA,Freq of R's dad's relig svc attendance,
AWAY1,Is 1st person staying somewhere else now?,
AWAY11,Is 11th person (visitor) staying elsewhere now?,
AWAY2,Is 2nd person staying somewhere else now?,
AWAY3,Is 3rd person staying somewhere else now?,
AWAY4,Is 4th person staying somewhere else now?,
AWAY5,Is 5th person staying somewhere else now?,
AWAY6,Is 6th person staying somewhere else now?,
AWAY7,Is 7th person staying somewhere else now?,
BABIES,Household members less than 6 yrs old,
BACKPAIN,R had back pain in the past 12 months,
BALLOT,Ballot used for interview,
BALNEG,Sci research is strongly in favor of harmful results,
BALPOS,Sci research is strongly in favor of benefits,
BEFAIR,How often do you think people take advantage,
BETRLANG,Which language R speaks more fluent,Which language do you speak more fluently?
BIBLE,Feelings about the bible,Which one of these statements comes closest to describing your feelings about the Bible?
BIGBANG,Sci knowledge: the universe began with a huge explosion,
BIGBANG1,Universe began with a big explosion: true or false,
BIGBANG2,Universe expanding since it began: true or false,
BIRD,Bird,
BIRDB4,Bird,
BORN,Was R born in this country,
BOYORGRL,Sci knowledge: father gene decides sex of baby,
BREAKDWN,How likely X is experiencing nervous breakdown,
BUDDHSTS,What is your personal attitude towards members of the following religious group - Buddhists,
BUYESOP,Does employee ownership matter when R thinks about buying from a company,
BUYVALUE,Percent of company stock R bought from own money,
CANTRUST,People can be trusted or cant be too careful,
CAPPUN,Favor or oppose death penalty for murder,Do you favor or oppose the death penalty for persons convicted of murder?
CAT,Cat,
CATB4,Cat,
CHARACTR,How likely X s situation caused by bad character,
CHEMGEN,Pesticides danger to envir,
CHILDS,Number of children,How many children have you ever had? Please count all that were born alive at any time (including any you had from a previous marriage).
CHLDIDEL,Ideal number of children,What do you think is the ideal number of children for a family to have?
CHRISTNS,What is your personal attitude towards members of the following religious group - Christians,
CHURHPOW,Do churches have too much power?,
CLASS,Subjective class identification,"If you were asked to use one of four names for your social class, which would you say you belong in: the lower class, the working class, the middle class, or the upper class?"
CLERGVTE,Clergy shouldn't try to influence voters,
CLOSETO1,How close R is to Person 1,
CLOSETO2,How close R is to Person 2,
CLOSETO3,How close R is to Person 3,
CLOSETO4,How close R is to Person 4,
CLOSETO5,How close R is to Person 5,
CNTCTFAM,How often R contacts their most-contacted extended family member,
CNTCTFRD,How often R contacts their most-contacted close friend,
CNTCTKID,How often R contacts their most-contacted adult child,
CNTCTPAR,How often R contacts their most-contacted parent,
CNTCTSIB,How often R contacts their most-contacted sibling,
CODEG,Partner's highest degree,
CODEN,Partner's denomination,
COEDUC,"Highest year school completed, partner",
COEVWORK,Partner ever work as long as a year,
COFUND,How fundamentalist is partner's current religion,
COHORT,Year of birth,
COHRS1,Number of hours partner worked last week,
COHRS2,No. of hours partner usually works a week,
COIND10,Partner's industry code (2010),
COISCO08,"Partner's occupation, 2010 census & 2008 ISCO code",
COJew,What sort of Jew Is R's partner currently,
COLATH,Allow anti-religionist to teach,"Should such a person be allowed to teach in a college or university, or not? (somebody who is against all churches and religion)"
COLCOM,Should communist teacher be fired," Suppose he is teaching in a college. Should he be fired, or not? (communist)"
COLDEG1,The highest degree R have earned,
COLHOMO,Allow homosexual to teach,"Should such a person be allowed to teach in a college or university, or not? (homosexual)"
COLMIL,Allow militarist to teach,"Should such a person be allowed to teach in a college or university, or not? (militarist)"
