"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"COLRAC_2_recoded",1,5215,3.07420901246405,1.68275403022323,4,3.3424394919722,0,0,4,4,-1.27238628623145,-0.375267797136614,0.0233020152953154
"COLCOM_2_recoded",2,5215,3.5424736337488,1.26793554513989,4,3.92763000239636,0,0,4,4,-2.42073046423668,3.87723361228461,0.017557796882771
"INTLHSPS_2_recoded",3,5215,2.60172579098754,1.907517705067,4,2.75197699496765,0,0,4,4,-0.6307783206716,-1.60242587232708,0.0264144408162015
"INTLBLKS_2_recoded",4,5215,3.1039309683605,1.66461339278504,4,3.37958303378864,0,0,4,4,-1.3236056557822,-0.243866707642946,0.0230508119682341
"LONELY2_2_recoded",5,5215,2.63394055608821,1.89614272023269,4,2.7922358015816,0,0,4,4,-0.668382917845351,-1.55258396073535,0.026256925180623
"AFRAIDOF_2_recoded",6,5215,3.07900287631831,1.6824787419458,4,3.34843038581356,0,0,4,4,-1.2810081972524,-0.356819136106721,0.0232982032279923
"NOTSMART_2_recoded",7,5215,3.08053691275168,1.68058103277364,4,3.3503474718428,0,0,4,4,-1.28333421272853,-0.349601991754692,0.0232719246112952
"THREATEN_2_recoded",8,5215,3.0784276126558,1.68324644238804,4,3.3477114785526,0,0,4,4,-1.2801666386463,-0.359573599913515,0.0233088339958444
"POORSERV_2_recoded",9,5215,3.08187919463087,1.67943160694891,4,3.35202492211838,0,0,4,4,-1.28595045175214,-0.342605604383035,0.0232560078833197
"NATCHLD_2_recoded",10,5215,2.61879194630873,1.89442069349843,4,2.77330457704289,0,0,4,4,-0.649586918739661,-1.57161331913582,0.0262330793347179
"NATFAREY_2_recoded",11,5215,3.29875359539789,1.5197549604114,4,3.62305295950156,0,0,4,4,-1.7081635951035,0.920260121400636,0.0210448780371901
"NATCITYY_2_recoded",12,5215,3.30431447746884,1.50946717853417,4,3.63000239635754,0,0,4,4,-1.71597917500729,0.956509606793253,0.0209024174955111
"NATRACEY_2_recoded",13,5215,3.30316395014382,1.51274459230191,4,3.62856458183561,0,0,4,4,-1.71672096640551,0.955590554287302,0.0209478016362549
"NATAIDY_2_recoded",14,5215,3.30047938638543,1.51707762201752,4,3.62520968128445,0,0,4,4,-1.71159724526772,0.934214888754743,0.021007803468308
"NATDRUG_2_recoded",15,5215,3.30930009587728,1.5104862299323,4,3.63623292595255,0,0,4,4,-1.73119938233689,0.999886461744399,0.0209165288575043
"NATENRGY_2_recoded",16,5215,2.60997123681687,1.90091540621997,4,2.76228133237479,0,0,4,4,-0.639543765960104,-1.58777152676993,0.0263230151735024
"NATDRUGY_2_recoded",17,5215,3.30220517737296,1.51376022262304,4,3.62736640306734,0,0,4,4,-1.71403277069849,0.946015065362758,0.0209618656247239
"NATEDUCY_2_recoded",18,5215,3.29702780441035,1.52141748018609,4,3.62089623771867,0,0,4,4,-1.70310063297214,0.902652434186646,0.0210678998576836
"NATCRIME_2_recoded",19,5215,3.31102588686481,1.50803474050763,4,3.63838964773544,0,0,4,4,-1.73502561939548,1.01482362671773,0.0208825817428077
"NATHEALY_2_recoded",20,5215,3.29875359539789,1.51937631668684,4,3.62305295950156,0,0,4,4,-1.70750689364067,0.918661933840801,0.0210396347504692
"NATENVIR_2_recoded",21,5215,3.30891658676894,1.51081863681254,4,3.63575365444524,0,0,4,4,-1.72997870301642,0.995656841234254,0.0209211318773564
"NATHEAL_2_recoded",22,5215,3.31524448705657,1.5032083105893,4,3.64366163431584,0,0,4,4,-1.74653419482549,1.05697250009202,0.0208157475283244
"NATRACE_2_recoded",23,5215,3.31486097794823,1.50290591008559,4,3.64318236280853,0,0,4,4,-1.74461586655811,1.05198535835377,0.0208115600231773
"NATEDUC_2_recoded",24,5215,3.30853307766059,1.51191218581721,4,3.63527438293793,0,0,4,4,-1.7300941446794,0.994736167632412,0.0209362748484475
"NATCRIMY_2_recoded",25,5215,3.29990412272291,1.51788657709484,4,3.62449077402348,0,0,4,4,-1.71045204148497,0.929893278893239,0.0210190055116527
"NATMASS_2_recoded",26,5215,2.61265580057526,1.89873904401358,4,2.76563623292595,0,0,4,4,-0.64231089154539,-1.58313339390014,0.0262928778958548
"NATARMSY_2_recoded",27,5215,3.2974113135187,1.5210903875682,4,3.62137550922598,0,0,4,4,-1.70429687276219,0.906731875880228,0.0210633704273282
"NATPARK_2_recoded",28,5215,2.60824544582934,1.90252721140791,4,2.7601246105919,0,0,4,4,-0.637968790870586,-1.5907072022519,0.0263453347213791
"NATSOC_2_recoded",29,5215,2.61035474592522,1.90129671514619,4,2.7627606038821,0,0,4,4,-0.640658714740702,-1.5868386439735,0.0263282953667282
"NATCITY_2_recoded",30,5215,3.31351869606903,1.5037605929695,4,3.64150491253295,0,0,4,4,-1.73928032898845,1.03330126704911,0.0208233952844668
"NATSPACY_2_recoded",31,5215,3.30028763183126,1.51540798704327,4,3.62497004553079,0,0,4,4,-1.70767575763756,0.92376033115023,0.0209846831197551
"NATSCI_2_recoded",32,5215,2.61073825503356,1.90026539329726,4,2.76323987538941,0,0,4,4,-0.640262315274961,-1.58655794276635,0.0263140140890925
"NATENVIY_2_recoded",33,5215,3.29760306807287,1.52048535888145,4,3.62161514497963,0,0,4,4,-1.70423957228957,0.907430968354301,0.021054992264234
"NATARMS_2_recoded",34,5215,3.31006711409396,1.50943976863413,4,3.63719146896717,0,0,4,4,-1.73297349706631,1.00670139023196,0.0209020379356357
"NATSPAC_2_recoded",35,5215,3.3117929050815,1.50583984905584,4,3.63934819075006,0,0,4,4,-1.7347719042073,1.0165959249187,0.020852187880566
"NATFARE_2_recoded",36,5215,3.31083413231064,1.50813787077632,4,3.63815001198179,0,0,4,4,-1.73441262582495,1.01295252516237,0.0208840098440366
"WRKGOVT_2_recoded",37,5215,2.64525407478428,1.88648515615932,4,2.80637431104721,0,0,4,4,-0.681069992261756,-1.53039631494271,0.0261231916095179
"TAX_2_recoded",38,5215,3.07574304889741,1.68165953933323,4,3.34435657800144,0,0,4,4,-1.27469964965576,-0.369315487753284,0.023286859281423
"FEPRESCH_2_recoded",39,5215,3.09645254074784,1.67155885592555,4,3.37023723939612,0,0,4,4,-1.3099112974445,-0.28247272622963,0.0231469895945695
"FECHLD_2_recoded",40,5215,3.09511025886865,1.67352780178203,4,3.36855978912054,0,0,4,4,-1.30823652547996,-0.288352509380267,0.0231742546645912
"JOBFIND_2_recoded",41,5215,3.51255992329818,1.30509956419553,4,3.89024682482626,0,0,4,4,-2.31121538202519,3.35418630193248,0.0180724273783254
"EMAILHR_2_recoded",42,5215,3.20843720038351,1.57380922668751,4,3.51018451953031,0,0,4,4,-1.52905492112736,0.369449999417096,0.0217933970226866
"EMAILMIN_2_recoded",43,5215,3.46673058485139,1.23588911081118,4,3.83297387970285,0,0,4,4,-2.28750627461923,3.59811696432521,0.017114032381557
"LOCALNUM_2_recoded",44,5215,3.2529242569511,1.54484137950072,4,3.56578001437815,0,0,4,4,-1.59959831566098,0.583509034559589,0.0213922634011975
"PRAY_2_recoded",45,5215,2.60920421860019,1.90206911932675,4,2.76132278936017,0,0,4,4,-0.639829639014838,-1.58766685231933,0.0263389912698169
"HUNT_2_recoded",46,5215,3.06577181208054,1.69253648704091,4,3.33189551881141,0,0,4,4,-1.25913674965414,-0.414654047169981,0.0234374783245503
"LIBMSLM_2_recoded",47,5215,3.53998082454458,1.27345007955454,4,3.92451473759885,0,0,4,4,-2.41312033701376,3.83222409667341,0.017634159656515
"RACWORK_2_recoded",48,5215,3.50546500479386,1.30676401529474,4,3.88138030194105,0,0,4,4,-2.28259501073678,3.24088447377053,0.0180954759429257
"RACLIVE_2_recoded",49,5215,2.63048897411314,1.87737586352165,4,2.78792235801582,0,0,4,4,-0.653096171827062,-1.55549489732959,0.0259970502528132
