"","X","document","Flesch.Kincaid","Dale.Chall","ELF","FOG.NRI","rowcount0s","rowcount1s","rowcount2s","rowcount3s","rowcount4s"
"ABANY",1,"ABANY",10.9783333333333,31.6066666666667,9,1.86,1186,20,5,7,3997
"ABDEFECT",2,"ABDEFECT",12.1871428571429,24.3228571428571,9,3.26,1178,23,7,10,3997
"ABHLTH",8,"ABHLTH",13.7325925925926,17.2218518518518,10,3.495,1175,25,8,10,3997
"ABNOMORE",14,"ABNOMORE",11.5474074074074,31.2959259259259,9,2.685,1185,17,6,10,3997
"ABPOOR",15,"ABPOOR",14.2033333333333,27.4666666666667,13,3.9,1180,17,7,14,3997
"ABRAPE",17,"ABRAPE",11.152,20.15,9,2.125,1188,16,7,7,3997
"ABSINGLE",18,"ABSINGLE",11.5889655172414,30.8865517241379,8,3.285,1182,20,6,10,3997
"AFRAIDOF",27,"AFRAIDOF",4.45692307692308,55.03,3,0.32,1196,4,2,3,4010
"ATTEND",37,"ATTEND",9.05428571428572,45.5985714285714,4,-1.115,1713,0,95,8,3399
"BETRLANG",55,"BETRLANG",3.99714285714286,45.5985714285714,2,-1.185,432,1,0,0,4782
"BIBLE",56,"BIBLE",7.57,40.7685714285714,6,-0.38,1792,7,3,14,3399
"CAPPUN",69,"CAPPUN",8.54153846153846,33.1069230769231,6,-0.395,1761,40,10,12,3392
"CHILDS",74,"CHILDS",6.277,47.775,4.5,0.3125,1813,4,0,4,3394
"CHLDIDEL",75,"CHLDIDEL",5.99333333333333,53.65,4,-0.225,1161,0,15,4,4035
"CLASS",78,"CLASS",11.5523529411765,37.7458823529412,6,4.28,1819,2,1,1,3392
"COLATH",101,"COLATH",7.56666666666667,47.3166666666667,4,-0.225,1192,16,1,9,3997
"COLCOM",102,"COLCOM",2.37576923076923,59.515,2,-1.0775,584,12,4,6,4609
"COLHOMO",104,"COLHOMO",7.56666666666667,47.3166666666667,4,-0.225,1198,7,5,8,3997
"COLMIL",105,"COLMIL",7.56666666666667,47.3166666666667,4,-0.225,1194,12,2,10,3997
"COLMSLM",106,"COLMSLM",7.56666666666667,47.3166666666667,4,-0.225,1201,8,1,8,3997
"COLRAC",107,"COLRAC",7.56666666666667,47.3166666666667,4,-0.225,1193,14,3,8,3997
"COMPUSE",114,"COMPUSE",9.0875,35.1475,5,0.26,1168,0,9,3,4035
"COURTS",151,"COURTS",9.20947368421053,30.89,6,0.875,1707,66,3,47,3392
"DENOM",176,"DENOM",10.74,32.0271428571429,3,-1.115,1823,0,0,0,3392
"DISCAFF",185,"DISCAFF",9.34909090909091,40.1836363636364,7,4,1187,19,4,8,3997
"DISCAFFM",186,"DISCAFFM",9.67329268292683,33.6354878048781,7,3.7275,594,2,1,2,4616
"DISCAFFW",187,"DISCAFFW",9.67329268292683,33.6354878048781,7,3.7275,574,6,0,1,4634
"DISRSPCT",188,"DISRSPCT",6.30571428571429,47.5542857142857,4.5,0.74,1196,1,3,5,4010
"DIVLAW",189,"DIVLAW",7.6125,35.1475,5,0.1,1119,33,4,24,4035
"DIVORCE",190,"DIVORCE",9.655,34.73,4,-1.02,1021,0,1,2,4191
"DWELOWN",196,"DWELOWN",5.99333333333333,47.3166666666667,3,-0.075,1169,0,2,4,4040
"EMAILHR",203,"EMAILHR",9.83052631578948,35.89,7,0.685,1001,4,9,94,4107
"EMAILMIN",204,"EMAILMIN",9.83052631578948,35.89,7,0.685,552,4,9,543,4107
"EVWORK",223,"EVWORK",1.29,57.1,1,-1,705,0,0,2,4508
"FEAR",241,"FEAR",8.54454545454546,40.1836363636364,6,1.14,1213,2,0,3,3997
"FECHLD",242,"FECHLD",10.1536363636364,35.8654545454545,7,1.36,1179,1,0,0,4035
"FEFAM",246,"FEFAM",10.8884615384615,38.7523076923077,7,2.66,1177,2,0,1,4035
"FEHIRE",247,"FEHIRE",13.0733333333333,15.65,9,0.075,579,1,0,1,4634
"FEPOL",249,"FEPOL",8.75666666666667,39.8866666666667,5,-0.54,1160,16,0,4,4035
"FEPRESCH",250,"FEPRESCH",4.91076923076923,47.7223076923077,4,-0.655,1173,6,1,0,4035
"FINALTER",251,"FINALTER",9.32,40.7,6,0.9,1820,0,1,2,3392
"FINRELA",252,"FINRELA",12.1378571428571,35.6392857142857,8,3.3125,1813,4,2,4,3392
"GETAHEAD",281,"GETAHEAD",6.50625,52.96,4.5,1.38,1209,3,1,4,3998
"GUNLAW",294,"GUNLAW",10.208,31.55,8,1.875,1201,10,1,6,3997
"HAPCOHAB",296,"HAPCOHAB",11.2263636363636,44.5018181818182,9,1.36,149,1,1,1,5063
"HAPMAR",297,"HAPMAR",6.277,55.375,5,0.1875,869,0,3,1,4342
"HAPPY",298,"HAPPY",9.98076923076923,38.7523076923077,7,2.14,1817,3,0,2,3393
"HEALTH",301,"HEALTH",5.04142857142857,47.5542857142857,2,-0.24,1217,0,0,1,3997
"HOMOSEX",338,"HOMOSEX",12.4027586206897,30.8865517241379,10,3.285,1175,16,8,17,3999
"HRS1",344,"HRS1",2.64545454545454,56.41,2,-0.895,945,1,9,3,4257
"HRS2",345,"HRS2",5.80666666666667,47.8033333333333,3,-0.66,32,0,8,2,5173
"HUNT",355,"HUNT",5.86363636363636,39.1372727272727,4,-0.785,1218,0,0,0,3997
"IF16WHO",365,"IF16WHO",4.82333333333333,47.8033333333333,3,-0.66,392,4,66,3,4750
"INCOM16",370,"INCOM16",19.1,23.3266666666667,17,8.22,1823,0,0,0,3392
"INCOME16",372,"INCOME16",19.9653846153846,-8.7476923076923,18,3.96,1656,141,0,25,3393
"INTLBLKS",387,"INTLBLKS",8.41285714285715,27.1971428571429,3,-0.24,1159,9,0,10,4037
"INTLHSPS",388,"INTLHSPS",8.41285714285715,27.1971428571429,3,-0.24,1823,0,0,0,3392
"INTLWHTS",389,"INTLWHTS",2.47,38.1,1,-0.9,1158,7,1,12,4037
"JOBFIND",406,"JOBFIND",9.20947368421053,38.39,6,2.87,629,2,9,2,4573
"JOBLOSE",408,"JOBLOSE",12.8942857142857,37.1357142857143,9,4.625,630,1,9,2,4573
"LETDIE1",433,"LETDIE1",13.8555555555556,25.9655555555556,10,5.34,590,5,2,2,4616
"LETIN1A",434,"LETIN1A",8.75666666666667,39.8866666666667,4,-0.42,1151,13,2,12,4037
"LIBATH",435,"LIBATH",14.95875,33.01375,11,5.22,602,3,0,1,4609
"LIBCOM",436,"LIBCOM",6.93636363636364,47.7736363636364,3.66666666666667,0.975,592,6,2,6,4609
"LIBHOMO",437,"LIBHOMO",15.7766666666667,33.8,10,4.5,598,2,3,3,4609
"LIBMIL",438,"LIBMIL",9.22368421052632,42.76,5.33333333333333,1.79333333333333,596,2,1,7,4609
"LIBMSLM",439,"LIBMSLM",15.5914285714286,28.9928571428571,11,6.375,594,5,1,6,4609
"LIBRAC",440,"LIBRAC",14.8012121212121,32.5936363636364,9,5.595,595,3,2,6,4609
"LIFE",441,"LIFE",6.93636363636364,47.7736363636364,4,-0.675,1215,1,0,1,3998
"LIVEBLKS",444,"LIVEBLKS",11.3769230769231,31.5115384615385,9,7.49166666666667,1164,6,1,7,4037
"LOCALNUM",446,"LOCALNUM",8.09818181818182,38.7663636363636,4.33333333333333,2.75333333333333,927,50,17,4,4217
"LONELY1",447,"LONELY1",5.4,17.335,2,-0.0600000000000001,1775,1,3,5,3431
"LONELY2",448,"LONELY2",6.50777777777778,25.1911111111111,3,0.3,1779,0,3,2,3431
"MARASIAN",476,"MARAsian",11.2272727272727,39.1372727272727,7,-0.675,1164,4,1,9,4037
"MARBLK",477,"MARBLK",7.19,47.6,5,-0.9,1170,3,0,5,4037
"MARHISP",480,"MARHISP",10.7233333333333,31.97,7,-0.42,1161,3,1,13,4037
"MARHOMO",481,"MARHOMO",10.2088888888889,36.6788888888889,4,-0.915,1201,6,3,6,3999
"MARITAL",482,"MARITAL",10.3569230769231,33.1069230769231,7,-0.395,1818,2,1,2,3392
"MARWHT",484,"MARWHT",10.7621052631579,35.89,9.5,2.87,1168,6,0,4,4037
"MEOVRWRK",503,"MEOVRWRK",7.77333333333333,47.8033333333333,5,-0.54,1176,2,1,1,4035
"NATAID",547,"NATAID",5.99333333333333,47.3166666666667,5,-0.375,875,20,1,8,4311
"NATAIDY",548,"NATAIDY",8.39294117647059,46.6817647058824,7,0.115,906,5,1,7,4296
"NATARMS",549,"NATARMS",9.78555555555556,41.0244444444444,7,0.48,894,6,0,4,4311
"NATARMSY",550,"NATARMSY",7.56666666666667,47.3166666666667,6,-0.225,913,3,0,3,4296
"NATCHLD",551,"NATCHLD",7.6125,41.085,6,-0.0600000000000001,1773,30,1,19,3392
