,Item,X,Flesch.Kincaid,Dale.Chall,ELF,FOG.NRI,validresponse_rowcount0s,dontknow_rowcount1s,noanswer_rowcount2s,skippedweb_rowcount3s,notapplicable_rowcount4s,GSSlabel,label,alicia_rating,john-o_rating,
1,ABANY,1,10.97833333,31.60666667,9,1.86,1186,20,5,7,3997,Abortion if woman wants for any reason,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,mostly comfortable sharing (2),somewhat uncomfortable sharing (4),
2,ABDEFECT,2,12.18714286,24.32285714,9,3.26,1178,23,7,10,3997,Strong chance of serious defect,Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,mostly comfortable sharing (2),somewhat uncomfortable sharing (4),
3,ABHLTH,8,13.73259259,17.22185185,10,3.495,1175,25,8,10,3997,Woman's health seriously endangered,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,I don't mind sharing (1),mostly comfortable sharing (2),
4,ABNOMORE,14,11.54740741,31.29592593,9,2.685,1185,17,6,10,3997,Married--wants no more children,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,mostly comfortable sharing (2),somewhat uncomfortable sharing (4),
5,ABPOOR,15,14.20333333,27.46666667,13,3.9,1180,17,7,14,3997,Low income--cant afford more children,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,mostly comfortable sharing (2),mostly uncomfortable sharing (5),
6,ABRAPE,17,11.152,20.15,9,2.125,1188,16,7,7,3997,Pregnant as result of rape,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,I don't mind sharing (1),mostly comfortable sharing (2),
7,ABSINGLE,18,11.58896552,30.88655172,8,3.285,1182,20,6,10,3997,Not married,Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is not married and does not want to marry the man?,mostly comfortable sharing (2),somewhat uncomfortable sharing (4),
8,AFRAIDOF,27,4.456923077,55.03,3,0.32,1196,4,2,3,4010,People act as if they are afraid of R,(In your day-to-day life how often have any of the following things happened to you?) People act as if they are afraid of you.,I don't mind sharing (1),I don't mind sharing (1),
9,ATTEND,37,9.054285714,45.59857143,4,-1.115,1713,0,95,8,3399,How often R attends religious services,How often do you attend religious services?,somewhat comfortable sharing (3),I don't mind sharing (1),
10,BETRLANG,55,3.997142857,45.59857143,2,-1.185,432,1,0,0,4782,Which language R speaks more fluent,Which language do you speak more fluently?,I don't mind sharing (1),I don't mind sharing (1),
11,BIBLE,56,7.57,40.76857143,6,-0.38,1792,7,3,14,3399,Feelings about the bible,Which one of these statements comes closest to describing your feelings about the Bible?,I don't mind sharing (1),mostly comfortable sharing (2),
12,CAPPUN,69,8.541538462,33.10692308,6,-0.395,1761,40,10,12,3392,Favor or oppose death penalty for murder,Do you favor or oppose the death penalty for persons convicted of murder?,somewhat comfortable sharing (3),mostly comfortable sharing (2),
13,CHILDS,74,6.277,47.775,4.5,0.3125,1813,4,0,4,3394,Number of children,How many children have you ever had? Please count all that were born alive at any time (including any you had from a previous marriage).,I don't mind sharing (1),I don't mind sharing (1),
14,CHLDIDEL,75,5.993333333,53.65,4,-0.225,1161,0,15,4,4035,Ideal number of children,What do you think is the ideal number of children for a family to have?,I don't mind sharing (1),mostly comfortable sharing (2),
15,CLASS,78,11.55235294,37.74588235,6,4.28,1819,2,1,1,3392,Subjective class identification,"If you were asked to use one of four names for your social class, which would you say you belong in: the lower class, the working class, the middle class, or the upper class?",somewhat uncomfortable sharing (4),mostly comfortable sharing (2),
16,COLATH,101,7.566666667,47.31666667,4,-0.225,1192,16,1,9,3997,Allow anti-religionist to teach,"Should such a person be allowed to teach in a college or university, or not? ",somewhat uncomfortable sharing (4),I don't mind sharing (1),
17,COLCOM,102,2.375769231,59.515,2,-1.0775,584,12,4,6,4609,Should communist teacher be fired," Suppose he is teaching in a college. Should he be fired, or not? ",somewhat uncomfortable sharing (4),I don't mind sharing (1),
18,COLHOMO,104,7.566666667,47.31666667,4,-0.225,1198,7,5,8,3997,Allow homosexual to teach,"Should such a person be allowed to teach in a college or university, or not? ",somewhat uncomfortable sharing (4),I don't mind sharing (1),
19,COLMIL,105,7.566666667,47.31666667,4,-0.225,1194,12,2,10,3997,Allow militarist to teach,"Should such a person be allowed to teach in a college or university, or not? ",somewhat uncomfortable sharing (4),I don't mind sharing (1),
20,COLMSLM,106,7.566666667,47.31666667,4,-0.225,1201,8,1,8,3997,Allow anti-American muslim clergymen teaching in college,"Should such a person be allowed to teach in a college or university, or not? ",somewhat uncomfortable sharing (4),somewhat uncomfortable sharing (4),
21,COLRAC,107,7.566666667,47.31666667,4,-0.225,1193,14,3,8,3997,Allow racist to teach," Should such a person be allowed to teach in a college or university, or not? ",somewhat uncomfortable sharing (4),somewhat uncomfortable sharing (4),
22,COMPUSE,114,9.0875,35.1475,5,0.26,1168,0,9,3,4035,R use computer,"Do you personally ever use a computer at home, at work, or at some other location?",I don't mind sharing (1),I don't mind sharing (1),
23,COURTS,151,9.209473684,30.89,6,0.875,1707,66,3,47,3392,Courts dealing with criminals,"In general, do you think the courts in your area deal too harshly or not harshly enough with criminals?",I don't mind sharing (1),I don't mind sharing (1),
24,DENOM,176,10.74,32.02714286,3,-1.115,1823,0,0,0,3392,Specific denomination,"What specific denomination is that, if any?",mostly comfortable sharing (2),I don't mind sharing (1),
25,DISCAFF,185,9.349090909,40.18363636,7,4,1187,19,4,8,3997,Whites hurt by aff. action,"What do you think the chances are these days that a White person won't get a job or promotion while an equally or less qualified Black person gets one instead? Is this very likely, somewhat likely, or not very likely to happen these days?",mostly uncomfortable sharing (5),somewhat uncomfortable sharing (4),
26,DISCAFFM,186,9.673292683,33.6354878,7,3.7275,594,2,1,2,4616,A man won't get a job or promotion,"What do you think the chances are these days that a man won't get a job or promotion while an equally or less qualified woman gets one instead. Is this very likely, somewhat likely, somewhat unlikely, or very unlikely these days?",somewhat uncomfortable sharing (4),somewhat uncomfortable sharing (4),
27,DISCAFFW,187,9.673292683,33.6354878,7,3.7275,574,6,0,1,4634,A woman won't get a job or promotion,"What do you think the chances are these days that a woman won't get a job or promotion while an equally or less qualified man gets one instead. Is this very likely, somewhat likely, somewhat unlikely, or very unlikely these days?",somewhat uncomfortable sharing (4),somewhat uncomfortable sharing (4),
28,DISRSPCT,188,6.305714286,47.55428571,4.5,0.74,1196,1,3,5,4010,R is treated with less courtesy or respect than others,In your day-to-day life how often have any of the following things happened to you? You are treated with less courtesy or respect than other people.,I don't mind sharing (1),I don't mind sharing (1),
29,DIVLAW,189,7.6125,35.1475,5,0.1,1119,33,4,24,4035,Divorce laws,Should divorce in this country be easier or more difficult to obtain than it is now?,mostly comfortable sharing (2),I don't mind sharing (1),
30,DIVORCE,190,9.655,34.73,4,-1.02,1021,0,1,2,4191,Ever been divorced or separated,Have you ever been divorced or legally separated?,I don't mind sharing (1),I don't mind sharing (1),
31,DWELOWN,196,5.993333333,47.31666667,3,-0.075,1169,0,2,4,4040,Does R own or rent home?,"Currently, do you (or does your family) own your home, pay rent, or something else?",I don't mind sharing (1),I don't mind sharing (1),
32,EMAILHR,203,9.830526316,35.89,7,0.685,1001,4,9,94,4107,Email hours per week,About how many minutes or hours per week do you spend sending and answering electronic mail or e-mail?,I don't mind sharing (1),I don't mind sharing (1),
33,EMAILMIN,204,9.830526316,35.89,7,0.685,552,4,9,543,4107,Email minutes per week,About how many minutes or hours per week do you spend sending and answering electronic mail or e-mail?,I don't mind sharing (1),I don't mind sharing (1),
34,EVWORK,223,1.29,57.1,1,-1,705,0,0,2,4508,Ever work as long as one year,Did you ever work for as long as one year?,I don't mind sharing (1),I don't mind sharing (1),
35,FEAR,241,8.544545455,40.18363636,6,1.14,1213,2,0,3,3997,Afraid to walk at night in neighborhood,"Is there any area around your home--that is, within a mile--where you would be afraid to walk alone at night?",I don't mind sharing (1),mostly comfortable sharing (2),
36,FECHLD,242,10.15363636,35.86545455,7,1.36,1179,1,0,0,4035,Mother working doesn't hurt children,A working mother can establish just as warm and secure a relationship with her children as a mother who does not work.,mostly comfortable sharing (2),mostly comfortable sharing (2),
37,FEFAM,246,10.88846154,38.75230769,7,2.66,1177,2,0,1,4035,"Better for man to work, woman tend home",It is much better for everyone involved if the man is the achiever outside the home and the woman takes care of the home and family.,I don't mind sharing (1),I don't mind sharing (1),
38,FEHIRE,247,13.07333333,15.65,9,0.075,579,1,0,1,4634,Should hire and promote women,"Because of past discrimination, employers should make special efforts to hire and promote qualified women.",I don't mind sharing (1),somewhat uncomfortable sharing (4),
39,FEPOL,249,8.756666667,39.88666667,5,-0.54,1160,16,0,4,4035,Women not suited for politics,Most men are better suited emotionally for politics than are most women.,somewhat comfortable sharing (3),mostly comfortable sharing (2),
40,FEPRESCH,250,4.910769231,47.72230769,4,-0.655,1173,6,1,0,4035,Preschool kids suffer if mother works,A preschool child is likely to suffer if his or her mother works.,somewhat uncomfortable sharing (4),mostly comfortable sharing (2),
41,FINALTER,251,9.32,40.7,6,0.9,1820,0,1,2,3392,Change in financial situation,"During the last few years, has your financial situation been getting better, getting worse, or has it stayed the same?",mostly comfortable sharing (2),mostly comfortable sharing (2),
42,FINRELA,252,12.13785714,35.63928571,8,3.3125,1813,4,2,4,3392,Opinion of family income,"Compared with American families in general, would you say your family income is--far below average, below average, average, above average, or far above average? If you are uncertain, just give us your best guess.",somewhat uncomfortable sharing (4),I don't mind sharing (1),
43,GETAHEAD,281,6.50625,52.96,4.5,1.38,1209,3,1,4,3998,Opinion of how people get ahead,Some people say that people get ahead by their own hard work; others say that lucky breaks or help from other people are more important. Which do you think is most important?,I don't mind sharing (1),I don't mind sharing (1),
44,GUNLAW,294,10.208,31.55,8,1.875,1201,10,1,6,3997,Favor or oppose gun permits,Would you favor or oppose a law which would require a person to obtain a police permit before he or she could buy a gun?,somewhat comfortable sharing (3),I don't mind sharing (1),
45,HAPCOHAB,296,11.22636364,44.50181818,9,1.36,149,1,1,1,5063,Happiness of relt with partner,"Taking things all together, would you say that your relationship with your partner is very happy, pretty happy, or not too happy?",somewhat uncomfortable sharing (4),somewhat uncomfortable sharing (4),
46,HAPMAR,297,6.277,55.375,5,0.1875,869,0,3,1,4342,Happiness of marriage,"Taking things all together, how would you describe your marriage? Would you say that your marriage is very happy, pretty happy, or not too happy?",somewhat uncomfortable sharing (4),somewhat uncomfortable sharing (4),
47,HAPPY,298,9.980769231,38.75230769,7,2.14,1817,3,0,2,3393,General happiness,"Taken all together, how would you say things are these days—would you say that you are very happy, pretty happy, or not too happy?",somewhat uncomfortable sharing (4),somewhat comfortable sharing (3),
48,HEALTH,301,5.041428571,47.55428571,2,-0.24,1217,0,0,1,3997,Condition of health,"Would you say your own health, in general, is excellent, good, fair, or poor?",somewhat uncomfortable sharing (4),mostly comfortable sharing (2),
49,HOMOSEX,338,12.40275862,30.88655172,10,3.285,1175,16,8,17,3999,Homosexual sex relations,"What about sexual relations between two adults of the same sex-- do you think it is always wrong, almost always wrong, wrong only sometimes, or not wrong at all?",somewhat uncomfortable sharing (4),somewhat uncomfortable sharing (4),
50,HRS1,344,2.645454545,56.41,2,-0.895,945,1,9,3,4257,Number of hours worked last week,"How many hours did you work last week, at all jobs?",I don't mind sharing (1),I don't mind sharing (1),
51,HRS2,345,5.806666667,47.80333333,3,-0.66,32,0,8,2,5173,Number of hours usually work a week,"How many hours a week do you usually work, at all jobs?",I don't mind sharing (1),I don't mind sharing (1),
52,HUNT,355,5.863636364,39.13727273,4,-0.785,1218,0,0,0,3997,Does R or spouse hunt,And now a question on a different topic. {spfill} go hunting?,I don't mind sharing (1),I don't mind sharing (1),Note: there was perhaps more to this question.
53,IF16WHO,365,4.823333333,47.80333333,3,-0.66,392,4,66,3,4750,WHO YOU WOULD HAVE VOTED FOR,"Who would you have voted for, for President, if you had voted?",somewhat uncomfortable sharing (4),mostly uncomfortable sharing (5),
54,INCOM16,370,19.1,23.32666667,17,8.22,1823,0,0,0,3392,R's family income when 16 yrs old,"Thinking about the time when you were 16 years old, compared with American families in general then, would you say your family income was -- far below average, below average, average, above average, or far above average?",somewhat uncomfortable sharing (4),mostly uncomfortable sharing (5),
55,INCOME16,372,19.96538462,-8.747692308,18,3.96,1656,141,0,25,3393,Total family income,"Your total income includes interest or dividends, rent, Social Security, other pensions, alimony or child support, unemployment compensation, public aid (welfare), armed forces or veteran's allotment.",somewhat uncomfortable sharing (4),mostly uncomfortable sharing (5),
56,INTLBLKS,387,8.412857143,27.19714286,3,-0.24,1159,9,0,10,4037,Unintelligent - intelligent,(Do people in this group tend to be unintelligent or tend to be intelligent?),somewhat uncomfortable sharing (4),somewhat uncomfortable sharing (4),
57,INTLHSPS,388,8.412857143,27.19714286,3,-0.24,1823,0,0,0,3392,Unintelligent - intelligent,(Do people in these groups tend to be unintelligent or tend to be intelligent?),somewhat uncomfortable sharing (4),somewhat uncomfortable sharing (4),
58,INTLWHTS,389,2.47,38.1,1,-0.9,1158,7,1,12,4037,Unintelligent -intelligent,Where would you rate Whites in general on this scale?,somewhat uncomfortable sharing (4),somewhat uncomfortable sharing (4),
