"","document","Flesch.Kincaid","Dale.Chall","ELF","FOG.NRI"
"1","ABANY",10.9783333333333,31.6066666666667,9,1.86
"2","ABDEFECT",12.1871428571429,24.3228571428571,9,3.26
"3","ABFELEGL",NA,NA,NA,NA
"4","ABHELP1",NA,NA,NA,NA
"5","ABHELP2",NA,NA,NA,NA
"6","ABHELP3",NA,NA,NA,NA
"7","ABHELP4",NA,NA,NA,NA
"8","ABHLTH",13.7325925925926,17.2218518518518,10,3.495
"9","ABINSPAY",NA,NA,NA,NA
"10","ABMEDGOV1",NA,NA,NA,NA
"11","ABMEDGOV2",NA,NA,NA,NA
"12","ABMELEGL",NA,NA,NA,NA
"13","ABMORAL",NA,NA,NA,NA
"14","ABNOMORE",11.5474074074074,31.2959259259259,9,2.685
"15","ABPOOR",14.2033333333333,27.4666666666667,13,3.9
"16","ABPOORW",NA,NA,NA,NA
"17","ABRAPE",11.152,20.15,9,2.125
"18","ABSINGLE",11.5889655172414,30.8865517241379,8,3.285
"19","ABSTATE1",NA,NA,NA,NA
"20","ABSTATE2",NA,NA,NA,NA
"21","ACQNTSEX",NA,NA,NA,NA
"22","ACTSSOC",NA,NA,NA,NA
"23","ADMINCONSENT",NA,NA,NA,NA
"24","ADULTS",NA,NA,NA,NA
"25","ADVFRONT",NA,NA,NA,NA
"26","AFFRMACT",NA,NA,NA,NA
"27","AFRAIDOF",4.45692307692308,55.03,3,0.32
"28","AFTERLIF",NA,NA,NA,NA
"29","AGE",NA,NA,NA,NA
"30","AGED",NA,NA,NA,NA
"31","AGEKDBRN",NA,NA,NA,NA
"32","ANCESTRS",NA,NA,NA,NA
"33","ARTHRTIS",NA,NA,NA,NA
"34","ASTROLGY",NA,NA,NA,NA
"35","ASTROSCI",NA,NA,NA,NA
"36","ATHEISTS",NA,NA,NA,NA
"37","ATTEND",9.05428571428572,45.5985714285714,4,-1.115
"38","ATTEND12",NA,NA,NA,NA
"39","ATTENDMA",NA,NA,NA,NA
"40","ATTENDPA",NA,NA,NA,NA
"41","AWAY1",NA,NA,NA,NA
"42","AWAY11",NA,NA,NA,NA
"43","AWAY2",NA,NA,NA,NA
"44","AWAY3",NA,NA,NA,NA
"45","AWAY4",NA,NA,NA,NA
"46","AWAY5",NA,NA,NA,NA
"47","AWAY6",NA,NA,NA,NA
"48","AWAY7",NA,NA,NA,NA
"49","BABIES",NA,NA,NA,NA
"50","BACKPAIN",NA,NA,NA,NA
"51","BALLOT",NA,NA,NA,NA
"52","BALNEG",NA,NA,NA,NA
"53","BALPOS",NA,NA,NA,NA
"54","BEFAIR",NA,NA,NA,NA
"55","BETRLANG",3.99714285714286,45.5985714285714,2,-1.185
"56","BIBLE",7.57,40.7685714285714,6,-0.38
"57","BIGBANG",NA,NA,NA,NA
"58","BIGBANG1",NA,NA,NA,NA
"59","BIGBANG2",NA,NA,NA,NA
"60","BIRD",NA,NA,NA,NA
"61","BIRDB4",NA,NA,NA,NA
"62","BORN",NA,NA,NA,NA
"63","BOYORGRL",NA,NA,NA,NA
"64","BREAKDWN",NA,NA,NA,NA
"65","BUDDHSTS",NA,NA,NA,NA
"66","BUYESOP",NA,NA,NA,NA
"67","BUYVALUE",NA,NA,NA,NA
"68","CANTRUST",NA,NA,NA,NA
"69","CAPPUN",8.54153846153846,33.1069230769231,6,-0.395
"70","CAT",NA,NA,NA,NA
"71","CATB4",NA,NA,NA,NA
"72","CHARACTR",NA,NA,NA,NA
"73","CHEMGEN",NA,NA,NA,NA
"74","CHILDS",6.277,47.775,4.5,0.3125
"75","CHLDIDEL",5.99333333333333,53.65,4,-0.225
"76","CHRISTNS",NA,NA,NA,NA
"77","CHURHPOW",NA,NA,NA,NA
"78","CLASS",11.5523529411765,37.7458823529412,6,4.28
"79","CLERGVTE",NA,NA,NA,NA
"80","CLOSETO1",NA,NA,NA,NA
"81","CLOSETO2",NA,NA,NA,NA
"82","CLOSETO3",NA,NA,NA,NA
"83","CLOSETO4",NA,NA,NA,NA
"84","CLOSETO5",NA,NA,NA,NA
"85","CNTCTFAM",NA,NA,NA,NA
"86","CNTCTFRD",NA,NA,NA,NA
"87","CNTCTKID",NA,NA,NA,NA
"88","CNTCTPAR",NA,NA,NA,NA
"89","CNTCTSIB",NA,NA,NA,NA
"90","CODEG",NA,NA,NA,NA
"91","CODEN",NA,NA,NA,NA
"92","COEDUC",NA,NA,NA,NA
"93","COEVWORK",NA,NA,NA,NA
"94","COFUND",NA,NA,NA,NA
"95","COHORT",NA,NA,NA,NA
"96","COHRS1",NA,NA,NA,NA
"97","COHRS2",NA,NA,NA,NA
"98","COIND10",NA,NA,NA,NA
"99","COISCO08",NA,NA,NA,NA
"100","COJew",NA,NA,NA,NA
"101","COLATH",7.56666666666667,47.3166666666667,4,-0.225
"102","COLCOM",2.37576923076923,59.515,2,-1.0775
"103","COLDEG1",NA,NA,NA,NA
"104","COLHOMO",7.56666666666667,47.3166666666667,4,-0.225
"105","COLMIL",7.56666666666667,47.3166666666667,4,-0.225
"106","COLMSLM",7.56666666666667,47.3166666666667,4,-0.225
"107","COLRAC",7.56666666666667,47.3166666666667,4,-0.225
"108","COLSCI",NA,NA,NA,NA
"109","COLSCINM",NA,NA,NA,NA
"110","COMFORT",NA,NA,NA,NA
"111","COMPANY",NA,NA,NA,NA
"112","COMPPERF",NA,NA,NA,NA
"113","COMPREND",NA,NA,NA,NA
"114","COMPUSE",9.0875,35.1475,5,0.26
"115","COMPWAGE",NA,NA,NA,NA
"116","CONARMY",NA,NA,NA,NA
"117","CONBIZ",NA,NA,NA,NA
"118","CONBUS",NA,NA,NA,NA
"119","CONCHURH",NA,NA,NA,NA
"120","CONCLERG",NA,NA,NA,NA
"121","CONCONG",NA,NA,NA,NA
"122","CONCOURT",NA,NA,NA,NA
"123","CONDEMND",NA,NA,NA,NA
"124","CONDOM",NA,NA,NA,NA
"125","CONDRIFT",NA,NA,NA,NA
"126","CONEDUC",NA,NA,NA,NA
"127","CONF2F",NA,NA,NA,NA
"128","CONFED",NA,NA,NA,NA
"129","CONFINAN",NA,NA,NA,NA
"130","CONINC",NA,NA,NA,NA
"131","CONJUDGE",NA,NA,NA,NA
"132","CONLABOR",NA,NA,NA,NA
"133","CONLEGIS",NA,NA,NA,NA
"134","CONMEDIC",NA,NA,NA,NA
"135","CONPRESS",NA,NA,NA,NA
"136","CONRINC",NA,NA,NA,NA
"137","CONSCHLS",NA,NA,NA,NA
"138","CONSCI",NA,NA,NA,NA
"139","CONSENT",NA,NA,NA,NA
"140","CONTV",NA,NA,NA,NA
"141","CONWKDAY",NA,NA,NA,NA
"142","COOCC10",NA,NA,NA,NA
"143","COOP",NA,NA,NA,NA
"144","COOTHER",NA,NA,NA,NA
"145","COPRES10",NA,NA,NA,NA
"146","COPRES105PLUS",NA,NA,NA,NA
"147","COREL",NA,NA,NA,NA
"148","COSEI10",NA,NA,NA,NA
"149","COSEI10EDUC",NA,NA,NA,NA
"150","COSEI10INC",NA,NA,NA,NA
"151","COURTS",9.20947368421053,30.89,6,0.875
"152","COWRKHLP",NA,NA,NA,NA
"153","COWRKINT",NA,NA,NA,NA
"154","COWRKSLF",NA,NA,NA,NA
"155","COWRKSTA",NA,NA,NA,NA
"156","CRACK30",NA,NA,NA,NA
"157","DANGOTH1",NA,NA,NA,NA
"158","DANGOTH2",NA,NA,NA,NA
"159","DANGOTH3",NA,NA,NA,NA
"160","DANGOTH4",NA,NA,NA,NA
"161","DANGOTH5",NA,NA,NA,NA
"162","DANGROTH",NA,NA,NA,NA
"163","DANGRSLF",NA,NA,NA,NA
"164","DANGSLF1",NA,NA,NA,NA
"165","DANGSLF2",NA,NA,NA,NA
"166","DANGSLF3",NA,NA,NA,NA
"167","DANGSLF4",NA,NA,NA,NA
"168","DANGSLF5",NA,NA,NA,NA
"169","DATEINTV",NA,NA,NA,NA
"170","DECMONEY",NA,NA,NA,NA
"171","DECTREAT",NA,NA,NA,NA
"172","DEFPENSN",NA,NA,NA,NA
"173","DEGREE",NA,NA,NA,NA
"174","DEMANDS",NA,NA,NA,NA
"175","DENKID",NA,NA,NA,NA
"176","DENOM",10.74,32.0271428571429,3,-1.115
"177","DENOM16",NA,NA,NA,NA
"178","DEPRESS",NA,NA,NA,NA
"179","DEPTPERF",NA,NA,NA,NA
"180","DIABETES",NA,NA,NA,NA
"181","DIAGNOSD",NA,NA,NA,NA
