"","document","Flesch.Kincaid","Dale.Chall","ELF","FOG.NRI"
"1","ABANY",10.9783333333333,31.6066666666667,9,1.86
"2","ABDEFECT",12.1871428571429,24.3228571428571,9,3.26
"8","ABHLTH",13.7325925925926,17.2218518518518,10,3.495
"14","ABNOMORE",11.5474074074074,31.2959259259259,9,2.685
"15","ABPOOR",14.2033333333333,27.4666666666667,13,3.9
"17","ABRAPE",11.152,20.15,9,2.125
"18","ABSINGLE",11.5889655172414,30.8865517241379,8,3.285
"27","AFRAIDOF",4.45692307692308,55.03,3,0.32
"37","ATTEND",9.05428571428572,45.5985714285714,4,-1.115
"55","BETRLANG",3.99714285714286,45.5985714285714,2,-1.185
"56","BIBLE",7.57,40.7685714285714,6,-0.38
"69","CAPPUN",8.54153846153846,33.1069230769231,6,-0.395
"74","CHILDS",6.277,47.775,4.5,0.3125
"75","CHLDIDEL",5.99333333333333,53.65,4,-0.225
"78","CLASS",11.5523529411765,37.7458823529412,6,4.28
"101","COLATH",7.56666666666667,47.3166666666667,4,-0.225
"102","COLCOM",2.37576923076923,59.515,2,-1.0775
"104","COLHOMO",7.56666666666667,47.3166666666667,4,-0.225
"105","COLMIL",7.56666666666667,47.3166666666667,4,-0.225
"106","COLMSLM",7.56666666666667,47.3166666666667,4,-0.225
"107","COLRAC",7.56666666666667,47.3166666666667,4,-0.225
"114","COMPUSE",9.0875,35.1475,5,0.26
"151","COURTS",9.20947368421053,30.89,6,0.875
"176","DENOM",10.74,32.0271428571429,3,-1.115
"185","DISCAFF",9.34909090909091,40.1836363636364,7,4
"186","DISCAFFM",9.67329268292683,33.6354878048781,7,3.7275
"187","DISCAFFW",9.67329268292683,33.6354878048781,7,3.7275
"188","DISRSPCT",6.30571428571429,47.5542857142857,4.5,0.74
"189","DIVLAW",7.6125,35.1475,5,0.1
"190","DIVORCE",9.655,34.73,4,-1.02
"196","DWELOWN",5.99333333333333,47.3166666666667,3,-0.075
"203","EMAILHR",9.83052631578948,35.89,7,0.685
"204","EMAILMIN",9.83052631578948,35.89,7,0.685
"223","EVWORK",1.29,57.1,1,-1
"241","FEAR",8.54454545454546,40.1836363636364,6,1.14
"242","FECHLD",10.1536363636364,35.8654545454545,7,1.36
"246","FEFAM",10.8884615384615,38.7523076923077,7,2.66
"247","FEHIRE",13.0733333333333,15.65,9,0.075
"249","FEPOL",8.75666666666667,39.8866666666667,5,-0.54
"250","FEPRESCH",4.91076923076923,47.7223076923077,4,-0.655
"251","FINALTER",9.32,40.7,6,0.9
"252","FINRELA",12.1378571428571,35.6392857142857,8,3.3125
"281","GETAHEAD",6.50625,52.96,4.5,1.38
"294","GUNLAW",10.208,31.55,8,1.875
"296","HAPCOHAB",11.2263636363636,44.5018181818182,9,1.36
"297","HAPMAR",6.277,55.375,5,0.1875
"298","HAPPY",9.98076923076923,38.7523076923077,7,2.14
"301","HEALTH",5.04142857142857,47.5542857142857,2,-0.24
"338","HOMOSEX",12.4027586206897,30.8865517241379,10,3.285
"344","HRS1",2.64545454545454,56.41,2,-0.895
"345","HRS2",5.80666666666667,47.8033333333333,3,-0.66
"355","HUNT",5.86363636363636,39.1372727272727,4,-0.785
"365","IF16WHO",4.82333333333333,47.8033333333333,3,-0.66
"370","INCOM16",19.1,23.3266666666667,17,8.22
"372","INCOME16",19.9653846153846,-8.7476923076923,18,3.96
"387","INTLBLKS",8.41285714285715,27.1971428571429,3,-0.24
"388","INTLHSPS",8.41285714285715,27.1971428571429,3,-0.24
"389","INTLWHTS",2.47,38.1,1,-0.9
"406","JOBFIND",9.20947368421053,38.39,6,2.87
"408","JOBLOSE",12.8942857142857,37.1357142857143,9,4.625
"433","LETDIE1",13.8555555555556,25.9655555555556,10,5.34
"434","LETIN1A",8.75666666666667,39.8866666666667,4,-0.42
"435","LIBATH",14.95875,33.01375,11,5.22
"436","LIBCOM",6.93636363636364,47.7736363636364,3.66666666666667,0.975
"437","LIBHOMO",15.7766666666667,33.8,10,4.5
"438","LIBMIL",9.22368421052632,42.76,5.33333333333333,1.79333333333333
"439","LIBMSLM",15.5914285714286,28.9928571428571,11,6.375
"440","LIBRAC",14.8012121212121,32.5936363636364,9,5.595
"441","LIFE",6.93636363636364,47.7736363636364,4,-0.675
"444","LIVEBLKS",11.3769230769231,31.5115384615385,9,7.49166666666667
"446","LOCALNUM",8.09818181818182,38.7663636363636,4.33333333333333,2.75333333333333
"447","LONELY1",5.4,17.335,2,-0.0600000000000001
"448","LONELY2",6.50777777777778,25.1911111111111,3,0.3
"476","MARAsian",11.2272727272727,39.1372727272727,7,-0.675
"477","MARBLK",7.19,47.6,5,-0.9
"480","MARHISP",10.7233333333333,31.97,7,-0.42
"481","MARHOMO",10.2088888888889,36.6788888888889,4,-0.915
"482","MARITAL",10.3569230769231,33.1069230769231,7,-0.395
"484","MARWHT",10.7621052631579,35.89,9.5,2.87
"503","MEOVRWRK",7.77333333333333,47.8033333333333,5,-0.54
"547","NATAID",5.99333333333333,47.3166666666667,5,-0.375
"548","NATAIDY",8.39294117647059,46.6817647058824,7,0.115
"549","NATARMS",9.78555555555556,41.0244444444444,7,0.48
"550","NATARMSY",7.56666666666667,47.3166666666667,6,-0.225
"551","NATCHLD",7.6125,41.085,6,-0.0600000000000001
"552","NATCITY",8.14,40.7,7,0.5
"553","NATCITYY",7.69882352941177,46.6817647058824,6,0.115
"554","NATCRIME",7.16333333333334,46.3022222222222,6,0.12
"555","NATCRIMY",6.78,47.3166666666667,5,-0.225
"556","NATDRUG",7.69882352941177,41.0935294117647,6,0.115
"557","NATDRUGY",9.14,40.9833333333333,5,-0.225
"558","NATEDUC",10.4411111111111,35.7466666666667,8,0.48
"559","NATEDUCY",7.57,47.5542857142857,5,-0.38
"560","NATENRGY",11.8635294117647,29.9170588235294,8,0.455
"561","NATENVIR",10.4411111111111,46.3022222222222,7,0.66
"562","NATENVIY",7.56666666666667,47.3166666666667,5,-0.225
"563","NATFARE",5.88428571428572,47.5542857142857,5,-0.52
"564","NATFAREY",7.00470588235294,46.6817647058824,5,0.115
"565","NATHEAL",9.20947368421053,45.89,7,0.685
"566","NATHEALY",5.04142857142857,54.34,4,-0.52
"568","NATMASS",7.56666666666667,40.9833333333333,5,-0.225
"571","NATPARK",7.6125,47.0225,5,-0.0600000000000001
"572","NATRACE",8.47444444444444,46.3022222222222,6,0.48
"573","NATRACEY",6.875,47.0225,5,-0.0600000000000001
"577","NATSCI",9.825,35.1475,7,0.1
"578","NATSOC",8.35333333333334,40.9833333333333,6,-0.225
"579","NATSPAC",8.39294117647059,41.0935294117647,6,0.115
"580","NATSPACY",7.56666666666667,47.3166666666667,5,-0.225
"586","NEWS",8.52,47.44,4,1.86
"590","NOTSMART",4.09722222222222,54.685,2.5,0.4575
"621","OTHLANG",4.79090909090909,30.5009090909091,4,-0.895
"629","OWNGUN",4.82333333333333,47.8033333333333,3,-0.66
"674","PILLOK",15.69625,15.20125,14,4.9
"675","PISTOL",3.755,34.73,3,-1.18
"682","POLVIEWS",8.138,25.9,4,3.83333333333333
"683","POORSERV",6.72714285714286,50.9471428571429,5,0.74
"684","POPESPKS",9.0875,29.21,6,0.1
"689","POSTLIFE",6.78,47.3166666666667,5,-0.225
"690","PRAY",2.48333333333333,59.86,2,-1.32
"691","PRAYER",8.8952380952381,33.6766666666667,6,3.75
"693","PREMARSX",10.2408333333333,33.5858333333333,8,4.98
"695","PRES16",4.96444444444445,15.5677777777778,3,-1.005
"706","RACDIF1",7.6,41.55,1.5,-1.15
"707","RACDIF2",4.4925,52.5425,1.5,-0.7
"708","RACDIF3",5.31239130434783,47.8041304347826,2,0.1675
"709","RACDIF4",6.28240740740741,30.0553703703704,3,0.7275
"714","RACLIVE",8.00909090909091,39.1372727272727,5,-0.675
"715","RACOPEN",7.655,42.3438888888889,5,6.06
"716","RACWORK",6.64761904761905,49.51,4,0.705
"719","RANK",4.00307692307693,45.2864102564103,2.33333333333333,1.165
"724","REBORN",11.1820689655172,34.1624137931034,6,3.285
"727","RELACTIV",11.7627272727273,35.8654545454545,7,1.58
"769","RELIG",7.6,22.55,2,-1.275
"774","RELITEN",8.39294117647059,29.9170588235294,6,0.285
"778","RELPERSN",10.9558695652174,18.8910869565217,6,0.6275
"797","RESPECT",6.30571428571429,47.5542857142857,4.5,0.74
"803","RICHWORK",11.3451612903226,36.4809677419355,5,3.925
"804","RIFLE",3.755,34.73,3,-1.18
