,document,Flesch.Kincaid,Dale.Chall,ELF,FOG.NRI,
1,ABANY,10.97833333,31.60666667,9,1.86,1
2,ABDEFECT,12.18714286,24.32285714,9,3.26,1
3,ABFELEGL,NA,NA,NA,NA,
4,ABHELP1,NA,NA,NA,NA,
5,ABHELP2,NA,NA,NA,NA,
6,ABHELP3,NA,NA,NA,NA,
7,ABHELP4,NA,NA,NA,NA,
8,ABHLTH,13.73259259,17.22185185,10,3.495,1
9,ABINSPAY,NA,NA,NA,NA,
10,ABMEDGOV1,NA,NA,NA,NA,
11,ABMEDGOV2,NA,NA,NA,NA,
12,ABMELEGL,NA,NA,NA,NA,
13,ABMORAL,NA,NA,NA,NA,
14,ABNOMORE,11.54740741,31.29592593,9,2.685,1
15,ABPOOR,14.20333333,27.46666667,13,3.9,1
16,ABPOORW,NA,NA,NA,NA,
17,ABRAPE,11.152,20.15,9,2.125,1
18,ABSINGLE,11.58896552,30.88655172,8,3.285,1
19,ABSTATE1,NA,NA,NA,NA,
20,ABSTATE2,NA,NA,NA,NA,
21,ACQNTSEX,NA,NA,NA,NA,
22,ACTSSOC,NA,NA,NA,NA,
23,ADMINCONSENT,NA,NA,NA,NA,
24,ADULTS,NA,NA,NA,NA,
25,ADVFRONT,NA,NA,NA,NA,
26,AFFRMACT,NA,NA,NA,NA,
27,AFRAIDOF,4.456923077,55.03,3,0.32,1
28,AFTERLIF,NA,NA,NA,NA,
29,AGE,NA,NA,NA,NA,
30,AGED,NA,NA,NA,NA,
31,AGEKDBRN,NA,NA,NA,NA,
32,ANCESTRS,NA,NA,NA,NA,
33,ARTHRTIS,NA,NA,NA,NA,
34,ASTROLGY,NA,NA,NA,NA,
35,ASTROSCI,NA,NA,NA,NA,
36,ATHEISTS,NA,NA,NA,NA,
37,ATTEND,9.054285714,45.59857143,4,-1.115,1
38,ATTEND12,NA,NA,NA,NA,
39,ATTENDMA,NA,NA,NA,NA,
40,ATTENDPA,NA,NA,NA,NA,
41,AWAY1,NA,NA,NA,NA,
42,AWAY11,NA,NA,NA,NA,
43,AWAY2,NA,NA,NA,NA,
44,AWAY3,NA,NA,NA,NA,
45,AWAY4,NA,NA,NA,NA,
46,AWAY5,NA,NA,NA,NA,
47,AWAY6,NA,NA,NA,NA,
48,AWAY7,NA,NA,NA,NA,
49,BABIES,NA,NA,NA,NA,
50,BACKPAIN,NA,NA,NA,NA,
51,BALLOT,NA,NA,NA,NA,
52,BALNEG,NA,NA,NA,NA,
53,BALPOS,NA,NA,NA,NA,
54,BEFAIR,NA,NA,NA,NA,
55,BETRLANG,3.997142857,45.59857143,2,-1.185,1
56,BIBLE,7.57,40.76857143,6,-0.38,1
57,BIGBANG,NA,NA,NA,NA,
58,BIGBANG1,NA,NA,NA,NA,
59,BIGBANG2,NA,NA,NA,NA,
60,BIRD,NA,NA,NA,NA,
61,BIRDB4,NA,NA,NA,NA,
62,BORN,NA,NA,NA,NA,
63,BOYORGRL,NA,NA,NA,NA,
64,BREAKDWN,NA,NA,NA,NA,
65,BUDDHSTS,NA,NA,NA,NA,
66,BUYESOP,NA,NA,NA,NA,
67,BUYVALUE,NA,NA,NA,NA,
68,CANTRUST,NA,NA,NA,NA,
69,CAPPUN,8.541538462,33.10692308,6,-0.395,1
70,CAT,NA,NA,NA,NA,
71,CATB4,NA,NA,NA,NA,
72,CHARACTR,NA,NA,NA,NA,
73,CHEMGEN,NA,NA,NA,NA,
74,CHILDS,6.277,47.775,4.5,0.3125,1
75,CHLDIDEL,5.993333333,53.65,4,-0.225,1
76,CHRISTNS,NA,NA,NA,NA,
77,CHURHPOW,NA,NA,NA,NA,
78,CLASS,11.55235294,37.74588235,6,4.28,1
79,CLERGVTE,NA,NA,NA,NA,
80,CLOSETO1,NA,NA,NA,NA,
81,CLOSETO2,NA,NA,NA,NA,
82,CLOSETO3,NA,NA,NA,NA,
83,CLOSETO4,NA,NA,NA,NA,
84,CLOSETO5,NA,NA,NA,NA,
85,CNTCTFAM,NA,NA,NA,NA,
86,CNTCTFRD,NA,NA,NA,NA,
87,CNTCTKID,NA,NA,NA,NA,
88,CNTCTPAR,NA,NA,NA,NA,
89,CNTCTSIB,NA,NA,NA,NA,
90,CODEG,NA,NA,NA,NA,
91,CODEN,NA,NA,NA,NA,
92,COEDUC,NA,NA,NA,NA,
93,COEVWORK,NA,NA,NA,NA,
94,COFUND,NA,NA,NA,NA,
95,COHORT,NA,NA,NA,NA,
96,COHRS1,NA,NA,NA,NA,
97,COHRS2,NA,NA,NA,NA,
98,COIND10,NA,NA,NA,NA,
99,COISCO08,NA,NA,NA,NA,
100,COJew,NA,NA,NA,NA,
101,COLATH,7.566666667,47.31666667,4,-0.225,1
102,COLCOM,2.375769231,59.515,2,-1.0775,1
103,COLDEG1,NA,NA,NA,NA,
104,COLHOMO,7.566666667,47.31666667,4,-0.225,1
105,COLMIL,7.566666667,47.31666667,4,-0.225,1
106,COLMSLM,7.566666667,47.31666667,4,-0.225,1
107,COLRAC,7.566666667,47.31666667,4,-0.225,1
108,COLSCI,NA,NA,NA,NA,
109,COLSCINM,NA,NA,NA,NA,
110,COMFORT,NA,NA,NA,NA,
111,COMPANY,NA,NA,NA,NA,
112,COMPPERF,NA,NA,NA,NA,
113,COMPREND,NA,NA,NA,NA,
114,COMPUSE,9.0875,35.1475,5,0.26,1
115,COMPWAGE,NA,NA,NA,NA,
116,CONARMY,NA,NA,NA,NA,
117,CONBIZ,NA,NA,NA,NA,
118,CONBUS,NA,NA,NA,NA,
119,CONCHURH,NA,NA,NA,NA,
120,CONCLERG,NA,NA,NA,NA,
121,CONCONG,NA,NA,NA,NA,
122,CONCOURT,NA,NA,NA,NA,
123,CONDEMND,NA,NA,NA,NA,
124,CONDOM,NA,NA,NA,NA,
125,CONDRIFT,NA,NA,NA,NA,
126,CONEDUC,NA,NA,NA,NA,
127,CONF2F,NA,NA,NA,NA,
128,CONFED,NA,NA,NA,NA,
129,CONFINAN,NA,NA,NA,NA,
130,CONINC,NA,NA,NA,NA,
131,CONJUDGE,NA,NA,NA,NA,
132,CONLABOR,NA,NA,NA,NA,
133,CONLEGIS,NA,NA,NA,NA,
134,CONMEDIC,NA,NA,NA,NA,
135,CONPRESS,NA,NA,NA,NA,
136,CONRINC,NA,NA,NA,NA,
137,CONSCHLS,NA,NA,NA,NA,
138,CONSCI,NA,NA,NA,NA,
139,CONSENT,NA,NA,NA,NA,
140,CONTV,NA,NA,NA,NA,
141,CONWKDAY,NA,NA,NA,NA,
142,COOCC10,NA,NA,NA,NA,
